PC: 0x0000000080000434, INSTR: 0x010f9f93, REG x31: 0xfffebd4cf48f0000
PC: 0x0000000080000438, INSTR: 0x76df8f93, REG x31: 0xfffebd4cf48f076d
PC: 0x000000008000043c, INSTR: 0x00cf9f93, REG x31: 0xebd4cf48f076d000
PC: 0x0000000080000440, INSTR: 0x35af8f93, REG x31: 0xebd4cf48f076d35a
PC: 0x0000000080000444, INSTR: 0x0161bb33, REG x22: 0x0000000000000001
PC: 0x0000000080000448, INSTR: 0x403881bb, REG x3: 0xffffffffc2958e75
PC: 0x000000008000044c, INSTR: 0x100096b7, REG x13: 0x0000000010009000
PC: 0x0000000080000450, INSTR: 0x00369693, REG x13: 0x0000000080048000
PC: 0x0000000080000454, INSTR: 0xee268693, REG x13: 0x0000000080047ee2
PC: 0x0000000080000458, INSTR: 0xb5a6e903, REG x18: 0x0000000000000000, MEM 0x0000000080047a3c
PC: 0x000000008000045c, INSTR: 0x016ebfb3, REG x31: 0x0000000000000000
PC: 0x0000000080000460, INSTR: 0x2000f537, REG x10: 0x000000002000f000
PC: 0x0000000080000464, INSTR: 0x00251513, REG x10: 0x000000008003c000
PC: 0x0000000080000468, INSTR: 0x03650513, REG x10: 0x000000008003c036
PC: 0x000000008000046c, INSTR: 0xac9508a3, MEM 0x000000008003bb07: 0x00000000000000bf
PC: 0x0000000080000470, INSTR: 0x00db3bb3, REG x23: 0x0000000000000001
PC: 0x0000000080000474, INSTR: 0xdbcc4017
PC: 0x0000000080000478, INSTR: 0x01f03e33, REG x28: 0x0000000000000000
PC: 0x000000008000047c, INSTR: 0x41775d1b, REG x26: 0x00000000000000fa
PC: 0x0000000080000480, INSTR: 0x416a00bb, REG x1: 0xfffffffffa680a65
PC: 0x0000000080000484, INSTR: 0x00deb533, REG x10: 0x0000000000000000
PC: 0x0000000080000488, INSTR: 0x01d439b3, REG x19: 0x0000000000000001
PC: 0x000000008000048c, INSTR: 0x00400793, REG x15: 0x0000000000000004
PC: 0x0000000080000490, INSTR: 0x00100413, REG x8: 0x0000000000000001
PC: 0x0000000080000494, INSTR: 0x0040006f
PC: 0x0000000080000498, INSTR: 0x013abd33, REG x26: 0x0000000000000000
PC: 0x000000008000049c, INSTR: 0xfff78793, REG x15: 0x0000000000000003
PC: 0x00000000800004a0, INSTR: 0xfe87dce3
PC: 0x0000000080000498, INSTR: 0x013abd33, REG x26: 0x0000000000000000
PC: 0x000000008000049c, INSTR: 0xfff78793, REG x15: 0x0000000000000002
PC: 0x00000000800004a0, INSTR: 0xfe87dce3
PC: 0x0000000080000498, INSTR: 0x013abd33, REG x26: 0x0000000000000000
PC: 0x000000008000049c, INSTR: 0xfff78793, REG x15: 0x0000000000000001
PC: 0x00000000800004a0, INSTR: 0xfe87dce3
PC: 0x0000000080000498, INSTR: 0x013abd33, REG x26: 0x0000000000000000
PC: 0x000000008000049c, INSTR: 0xfff78793, REG x15: 0x0000000000000000
PC: 0x00000000800004a0, INSTR: 0xfe87dce3
PC: 0x00000000800004a4, INSTR: 0x0040006f
PC: 0x00000000800004a8, INSTR: 0x01ecb8b3, REG x17: 0x0000000000000001
PC: 0x00000000800004ac, INSTR: 0x01ad3533, REG x10: 0x0000000000000000
PC: 0x00000000800004b0, INSTR: 0x00443933, REG x18: 0x0000000000000001
PC: 0x00000000800004b4, INSTR: 0xc6ddc693, REG x13: 0x538e36d582ea7481
PC: 0x00000000800004b8, INSTR: 0x01683833, REG x16: 0x0000000000000000
PC: 0x00000000800004bc, INSTR: 0x01b7b1b3, REG x3: 0x0000000000000001
PC: 0x00000000800004c0, INSTR: 0x00080a37, REG x20: 0x0000000000080000
PC: 0x00000000800004c4, INSTR: 0x04ba0a1b, REG x20: 0x000000000008004b
