PC: 0x0000000080000330, INSTR: 0x921b8b93, REG x23: 0x0000000449f6a921
PC: 0x0000000080000334, INSTR: 0x00cb9b93, REG x23: 0x0000449f6a921000
PC: 0x0000000080000338, INSTR: 0x063b8b93, REG x23: 0x0000449f6a921063
PC: 0x000000008000033c, INSTR: 0x00cb9b93, REG x23: 0x0449f6a921063000
PC: 0x0000000080000340, INSTR: 0x92ab8b93, REG x23: 0x0449f6a92106292a
PC: 0x0000000080000344, INSTR: 0x601bbc37, REG x24: 0x00000000601bb000
PC: 0x0000000080000348, INSTR: 0x001c1c13, REG x24: 0x00000000c0376000
PC: 0x000000008000034c, INSTR: 0x18bc0c13, REG x24: 0x00000000c037618b
PC: 0x0000000080000350, INSTR: 0x00cc1c13, REG x24: 0x00000c037618b000
PC: 0x0000000080000354, INSTR: 0xde5c0c13, REG x24: 0x00000c037618ade5
PC: 0x0000000080000358, INSTR: 0x011c1c13, REG x24: 0x1806ec315bca0000
PC: 0x000000008000035c, INSTR: 0x07ac0c13, REG x24: 0x1806ec315bca007a
PC: 0x0000000080000360, INSTR: 0x00372cb7, REG x25: 0x0000000000372000
PC: 0x0000000080000364, INSTR: 0xec3c8c9b, REG x25: 0x0000000000371ec3
PC: 0x0000000080000368, INSTR: 0x00dc9c93, REG x25: 0x00000006e3d86000
PC: 0x000000008000036c, INSTR: 0x995c8c93, REG x25: 0x00000006e3d85995
PC: 0x0000000080000370, INSTR: 0x00dc9c93, REG x25: 0x0000dc7b0b32a000
PC: 0x0000000080000374, INSTR: 0xd47c8c93, REG x25: 0x0000dc7b0b329d47
PC: 0x0000000080000378, INSTR: 0x00dc9c93, REG x25: 0x1b8f616653a8e000
PC: 0x000000008000037c, INSTR: 0x394c8c93, REG x25: 0x1b8f616653a8e394
PC: 0x0000000080000380, INSTR: 0xb1c24d37, REG x26: 0xffffffffb1c24000
PC: 0x0000000080000384, INSTR: 0xa01d0d1b, REG x26: 0xffffffffb1c23a01
PC: 0x0000000080000388, INSTR: 0x012d1d13, REG x26: 0xfffec708e8040000
PC: 0x000000008000038c, INSTR: 0xeafd0d13, REG x26: 0xfffec708e803feaf
PC: 0x0000000080000390, INSTR: 0x00cd1d13, REG x26: 0xec708e803feaf000
PC: 0x0000000080000394, INSTR: 0xc51d0d13, REG x26: 0xec708e803feaec51
PC: 0x0000000080000398, INSTR: 0x001d5d13, REG x26: 0x763847401ff57628
PC: 0x000000008000039c, INSTR: 0xfcbd6db7, REG x27: 0xfffffffffcbd6000
