PC: 0x00000000800003d4, INSTR: 0x006e5e13, REG x28: 0x03b612d0f2f8d911
PC: 0x00000000800003d8, INSTR: 0xffa32eb7, REG x29: 0xffffffffffa32000
PC: 0x00000000800003dc, INSTR: 0xd0be8e9b, REG x29: 0xffffffffffa31d0b
PC: 0x00000000800003e0, INSTR: 0x00de9e93, REG x29: 0xfffffff463a16000
PC: 0x00000000800003e4, INSTR: 0xd49e8e93, REG x29: 0xfffffff463a15d49
PC: 0x00000000800003e8, INSTR: 0x00de9e93, REG x29: 0xfffe8c742ba92000
PC: 0x00000000800003ec, INSTR: 0xc4be8e93, REG x29: 0xfffe8c742ba91c4b
PC: 0x00000000800003f0, INSTR: 0x00ce9e93, REG x29: 0xe8c742ba91c4b000
PC: 0x00000000800003f4, INSTR: 0xad5e8e93, REG x29: 0xe8c742ba91c4aad5
PC: 0x00000000800003f8, INSTR: 0xffdb1f37, REG x30: 0xffffffffffdb1000
PC: 0x00000000800003fc, INSTR: 0x66df0f1b, REG x30: 0xffffffffffdb166d
PC: 0x0000000080000400, INSTR: 0x00ff1f13, REG x30: 0xffffffed8b368000
PC: 0x0000000080000404, INSTR: 0x59df0f13, REG x30: 0xffffffed8b36859d
PC: 0x0000000080000408, INSTR: 0x00cf1f13, REG x30: 0xfffed8b36859d000
PC: 0x000000008000040c, INSTR: 0xc27f0f13, REG x30: 0xfffed8b36859cc27
PC: 0x0000000080000410, INSTR: 0x00cf1f13, REG x30: 0xed8b36859cc27000
PC: 0x0000000080000414, INSTR: 0xc47f0f13, REG x30: 0xed8b36859cc26c47
PC: 0x0000000080000418, INSTR: 0x00d08fb7, REG x31: 0x0000000000d08000
PC: 0x000000008000041c, INSTR: 0x38df8f9b, REG x31: 0x0000000000d0838d
PC: 0x0000000080000420, INSTR: 0x00df9f93, REG x31: 0x0000001a1071a000
PC: 0x0000000080000424, INSTR: 0x0e3f8f93, REG x31: 0x0000001a1071a0e3
PC: 0x0000000080000428, INSTR: 0x00df9f93, REG x31: 0x0003420e341c6000
PC: 0x000000008000042c, INSTR: 0xeb1f8f93, REG x31: 0x0003420e341c5eb1
PC: 0x0000000080000430, INSTR: 0x00cf9f93, REG x31: 0x3420e341c5eb1000
PC: 0x0000000080000434, INSTR: 0x328f8f93, REG x31: 0x3420e341c5eb1328
PC: 0x0000000080000438, INSTR: 0x200136b7, REG x13: 0x0000000020013000
PC: 0x000000008000043c, INSTR: 0xd196869b, REG x13: 0x0000000020012d19
PC: 0x0000000080000440, INSTR: 0x00269693, REG x13: 0x000000008004b464
PC: 0x0000000080000444, INSTR: 0xa706e483, REG x9: 0x0000000000000000, MEM 0x000000008004aed4
PC: 0x0000000080000448, INSTR: 0x200138b7, REG x17: 0x0000000020013000
PC: 0x000000008000044c, INSTR: 0x00289893, REG x17: 0x000000008004c000
PC: 0x0000000080000450, INSTR: 0xfa888893, REG x17: 0x000000008004bfa8
PC: 0x0000000080000454, INSTR: 0x2b48ea03, REG x20: 0x0000000000000000, MEM 0x000000008004c25c
PC: 0x0000000080000458, INSTR: 0x020015b7, REG x11: 0x0000000002001000
PC: 0x000000008000045c, INSTR: 0x00659593, REG x11: 0x0000000080040000
PC: 0x0000000080000460, INSTR: 0xc4358593, REG x11: 0x000000008003fc43
PC: 0x0000000080000464, INSTR: 0x5e55ec03, REG x24: 0x0000000000000000, MEM 0x0000000080040228
PC: 0x0000000080000468, INSTR: 0x02001ab7, REG x21: 0x0000000002001000
PC: 0x000000008000046c, INSTR: 0x006a9a93, REG x21: 0x0000000080040000
PC: 0x0000000080000470, INSTR: 0xf70a8a93, REG x21: 0x000000008003ff70
PC: 0x0000000080000474, INSTR: 0x2c4ae283, REG x5: 0x0000000000000000, MEM 0x0000000080040234
PC: 0x0000000080000478, INSTR: 0x22480893, REG x17: 0xf603027ecb33950e
PC: 0x000000008000047c, INSTR: 0x40024b37, REG x22: 0x0000000040024000
PC: 0x0000000080000480, INSTR: 0x8bbb0b1b, REG x22: 0x00000000400238bb
PC: 0x0000000080000484, INSTR: 0x001b1b13, REG x22: 0x0000000080047176
PC: 0x0000000080000488, INSTR: 0xe72b6783, REG x15: 0x0000000000000000, MEM 0x0000000080046fe8
PC: 0x000000008000048c, INSTR: 0x00000613, REG x12: 0x0000000000000000
PC: 0x0000000080000490, INSTR: 0x00400393, REG x7: 0x0000000000000004
PC: 0x0000000080000494, INSTR: 0x0040006f
PC: 0x0000000080000498, INSTR: 0x40019d37, REG x26: 0x0000000040019000
PC: 0x000000008000049c, INSTR: 0x94bd0d1b, REG x26: 0x000000004001894b
PC: 0x00000000800004a0, INSTR: 0x001d1d13, REG x26: 0x0000000080031296
PC: 0x00000000800004a4, INSTR: 0xebed6803, REG x16: 0x0000000000000000, MEM 0x0000000080031154
PC: 0x00000000800004a8, INSTR: 0x00160613, REG x12: 0x0000000000000001
PC: 0x00000000800004ac, INSTR: 0xfe7646e3
