PC: 0x00000000800004a0, INSTR: 0xcf02df83, REG x31: 0x0000000000000000, MEM 0x00000000800419aa
PC: 0x00000000800004a4, INSTR: 0x40015337, REG x6: 0x0000000040015000
PC: 0x00000000800004a8, INSTR: 0x88b3031b, REG x6: 0x000000004001488b
PC: 0x00000000800004ac, INSTR: 0x00131313, REG x6: 0x0000000080029116
PC: 0x00000000800004b0, INSTR: 0x0ce32f03, REG x30: 0x0000000000000000, MEM 0x00000000800291e4
PC: 0x00000000800004b4, INSTR: 0x00080337, REG x6: 0x0000000000080000
PC: 0x00000000800004b8, INSTR: 0x0253031b, REG x6: 0x0000000000080025
PC: 0x00000000800004bc, INSTR: 0x00c31313, REG x6: 0x0000000080025000
PC: 0x00000000800004c0, INSTR: 0x5bb30313, REG x6: 0x00000000800255bb
PC: 0x00000000800004c4, INSTR: 0xbe135483, REG x9: 0x0000000000000000, MEM 0x000000008002519c
PC: 0x00000000800004c8, INSTR: 0x013061b3, REG x3: 0x3385840e6227e429
PC: 0x00000000800004cc, INSTR: 0x00000593, REG x11: 0x0000000000000000
